No,D/P&BOM 코드,D/P&BOM 내역,설계기능,협력사,직영책임부서,최종 출도가능일자,출도실적,일정 차이,일정 준수 여부
1760,DPBOM000001760,철의장,F5,자체 진행,D7,2024-08-07,2024-07-12,-26,False
1761,DPBOM000001761,철의장,F1,자체 진행,D3,2024-04-17,2024-04-16,-1,False
1762,DPBOM000001762,철의장,F1,자체 진행,D3,2024-04-15,2024-03-19,-27,False
1763,DPBOM000001763,철의장,F1,자체 진행,D3,2021-09-26,2021-08-30,-27,False
1764,DPBOM000001764,철의장,F1,자체 진행,D3,2022-02-12,2022-02-02,-10,False
1765,DPBOM000001765,철의장,F1,자체 진행,D3,2024-05-31,2024-05-22,-9,False
1766,DPBOM000001766,철의장,F1,자체 진행,D3,2023-07-04,2023-06-15,-19,False
1767,DPBOM000001767,철의장,F1,자체 진행,D3,2024-07-27,2024-06-29,-28,False
1768,DPBOM000001768,제작,F2,D1,D4,2022-05-07,2022-04-18,-19,False
1769,DPBOM000001769,Supp 제작,F2,D1,D4,2021-11-02,2021-10-19,-14,False
1770,DPBOM000001770,철의장,F1,자체 진행,D3,2022-03-09,2022-03-08,-1,False
1771,DPBOM000001771,철의장,F1,자체 진행,D3,2023-10-23,2023-10-17,-6,False
1772,DPBOM000001772,철의장,F5,자체 진행,D7,2022-05-10,2022-05-05,-5,False
1773,DPBOM000001773,철의장,F1,자체 진행,D3,2024-05-08,2024-04-19,-19,False
1774,DPBOM000001774,철의장,F9,자체 진행,D8,2023-08-09,2023-07-25,-15,False
1775,DPBOM000001775,제작,F9,자체 진행,D8,2024-01-17,2024-01-11,-6,False
1776,DPBOM000001776,Supp 제작,F9,자체 진행,D8,2022-05-06,2022-04-21,-15,False
1777,DPBOM000001777,철의장,F9,자체 진행,D8,2022-02-15,2022-01-19,-27,False
1778,DPBOM000001778,제작,F9,자체 진행,D8,2022-05-20,2022-04-21,-29,False
1779,DPBOM000001779,Supp 제작,F9,자체 진행,D8,2021-11-13,2021-11-05,-8,False
1780,DPBOM000001780,철의장,F9,자체 진행,D8,2023-01-09,2022-12-28,-12,False
1781,DPBOM000001781,의장(설치),F4,자체 진행,D6,2024-01-10,2023-12-29,-12,False
1782,DPBOM000001782,철의장,F7,자체 진행,D4,2023-03-26,2023-03-20,-6,False
1783,DPBOM000001783,제작,F2,D1,D4,2022-07-25,2022-07-23,-2,False
1784,DPBOM000001784,제작,F2,자체 진행,D4,2023-02-28,2023-02-23,-5,False
1785,DPBOM000001785,Supp 제작,F2,자체 진행,D4,2022-12-30,2022-12-24,-6,False
1786,DPBOM000001786,제작,F2,D1,D4,2024-05-31,2024-05-11,-20,False
1787,DPBOM000001787,의장(설치),F9,자체 진행,D8,2024-02-19,2024-02-04,-15,False
1788,DPBOM000001788,의장,F1,자체 진행,D3,2022-05-11,2022-04-28,-13,False
1789,DPBOM000001789,의장(설치),F4,자체 진행,D6,2023-03-16,2023-02-25,-19,False
1790,DPBOM000001790,의장(설치),F4,자체 진행,D6,2023-08-29,2023-08-02,-27,False
1791,DPBOM000001791,의장(설치),F4,자체 진행,D6,2021-10-04,2021-09-08,-26,False
1792,DPBOM000001792,의장(설치),F4,자체 진행,D6,2024-01-03,2023-12-22,-12,False
1793,DPBOM000001793,의장(설치),F4,자체 진행,D6,2022-06-13,2022-06-09,-4,False
1794,DPBOM000001794,의장(설치),F4,자체 진행,D6,2022-11-23,2022-10-31,-23,False
1795,DPBOM000001795,의장(설치),F1,자체 진행,D3,2024-01-03,2024-01-01,-2,False
1796,DPBOM000001796,의장(설치),F1,자체 진행,D3,2024-01-26,2024-01-02,-24,False
1797,DPBOM000001797,의장(설치),F3,자체 진행,D5,2022-07-01,2022-06-25,-6,False
1798,DPBOM000001798,의장(설치),F3,자체 진행,D5,2024-05-02,2024-04-20,-12,False
1799,DPBOM000001799,의장(설치),F9,자체 진행,D8,2022-12-08,2022-11-21,-17,False
1800,DPBOM000001800,의장(설치),F9,자체 진행,D8,2021-11-05,2021-10-19,-17,False
1801,DPBOM000001801,의장(설치),F9,자체 진행,D8,2024-03-17,2024-03-09,-8,False
1802,DPBOM000001802,의장(설치),F9,자체 진행,D8,2023-09-14,2023-08-29,-16,False
1803,DPBOM000001803,의장(설치),F9,자체 진행,D8,2023-02-08,2023-01-19,-20,False
1804,DPBOM000001804,의장(설치),F1,자체 진행,D3,2022-03-07,2022-02-07,-28,False
1805,DPBOM000001805,의장(설치),F1,자체 진행,D3,2022-09-24,2022-09-03,-21,False
1806,DPBOM000001806,의장(설치),F1,자체 진행,D3,2022-02-27,2022-02-13,-14,False
1807,DPBOM000001807,의장(설치),F1,자체 진행,D3,2023-11-27,2023-11-12,-15,False
1808,DPBOM000001808,의장(설치),F1,자체 진행,D3,2022-03-03,2022-02-12,-19,False
1809,DPBOM000001809,의장(설치),F1,자체 진행,D3,2023-02-20,2023-02-11,-9,False
1810,DPBOM000001810,의장(설치),F1,자체 진행,D3,2021-09-28,2021-09-25,-3,False
1811,DPBOM000001811,의장(설치),F2,자체 진행,D4,2023-08-12,2023-07-31,-12,False
1812,DPBOM000001812,의장(설치),F1,자체 진행,D3,2024-05-25,2024-05-05,-20,False
1813,DPBOM000001813,의장(설치),F1,자체 진행,D3,2023-02-25,2023-02-11,-14,False
1814,DPBOM000001814,의장(설치),F1,자체 진행,D3,2023-08-10,2023-07-31,-10,False
1815,DPBOM000001815,의장(설치),F1,자체 진행,D3,2023-01-13,2022-12-15,-29,False
1816,DPBOM000001816,의장(설치),F1,자체 진행,D3,2023-11-15,2023-11-09,-6,False
1817,DPBOM000001817,의장(설치),F1,자체 진행,D3,2022-10-08,2022-09-18,-20,False
1818,DPBOM000001818,의장(설치),F1,자체 진행,D3,2022-05-09,2022-04-26,-13,False
1819,DPBOM000001819,의장(설치),F1,자체 진행,D3,2022-02-06,2022-01-30,-7,False
1820,DPBOM000001820,의장(설치),F1,자체 진행,D3,2022-06-17,2022-06-14,-3,False
1821,DPBOM000001821,의장(설치),F1,자체 진행,D3,2022-12-30,2022-12-16,-14,False
1822,DPBOM000001822,의장(설치),F1,자체 진행,D3,2022-02-25,2022-02-09,-16,False
1823,DPBOM000001823,의장(설치),F9,자체 진행,D8,2023-11-08,2023-10-23,-16,False
1824,DPBOM000001824,의장(설치),F9,자체 진행,D8,2023-03-24,2023-03-23,-1,False
1825,DPBOM000001825,의장(설치),F9,자체 진행,D8,2022-10-08,2022-09-27,-11,False
1826,DPBOM000001826,의장(설치),F1,자체 진행,D3,2022-04-23,2022-03-27,-27,False
1827,DPBOM000001827,의장(설치),F1,자체 진행,D3,2024-04-07,2024-03-26,-12,False
1828,DPBOM000001828,의장(설치),F3,자체 진행,D5,2023-03-05,2023-03-21,16,True
1829,DPBOM000001829,의장(설치),F4,자체 진행,D6,2023-05-01,2023-04-29,-2,False
1830,DPBOM000001830,의장(설치),F4,자체 진행,D6,2022-10-11,2022-09-22,-19,False
1831,DPBOM000001831,철의장,F5,자체 진행,D7,2022-09-02,2022-08-06,-27,False
1832,DPBOM000001832,철의장,F5,자체 진행,D7,2022-11-24,2022-11-10,-14,False
1833,DPBOM000001833,의장(설치),F4,자체 진행,D6,2023-03-31,2023-03-23,-8,False
1834,DPBOM000001834,의장(설치),F4,자체 진행,D6,2023-01-10,2022-12-14,-27,False
1835,DPBOM000001835,의장(설치),F4,자체 진행,D6,2023-01-21,2022-12-29,-23,False
1836,DPBOM000001836,의장(설치),F4,자체 진행,D6,2022-05-25,2022-05-01,-24,False
1837,DPBOM000001837,의장(설치),F4,자체 진행,D6,2024-08-14,2024-07-22,-23,False
1838,DPBOM000001838,의장(설치),F4,자체 진행,D6,2024-07-02,2024-06-14,-18,False
1839,DPBOM000001839,의장(설치),F4,자체 진행,D6,2023-09-16,2023-09-03,-13,False
1840,DPBOM000001840,의장(설치),F4,자체 진행,D6,2023-09-27,2023-09-23,-4,False
1841,DPBOM000001841,의장(설치),F4,자체 진행,D6,2023-03-31,2023-03-03,-28,False
1842,DPBOM000001842,의장,F1,자체 진행,D3,2022-09-06,2022-08-15,-22,False
1843,DPBOM000001843,의장,F1,자체 진행,D3,2022-06-14,2022-05-17,-28,False
1844,DPBOM000001844,의장,F1,자체 진행,D3,2022-08-02,2022-07-12,-21,False
1845,DPBOM000001845,제작,F2,D1,D4,2024-05-19,2024-04-27,-22,False
1846,DPBOM000001846,Supp 제작,F2,D1,D4,2023-07-09,2023-07-02,-7,False
1847,DPBOM000001847,철의장,F4,자체 진행,D6,2023-06-30,2023-06-21,-9,False
1848,DPBOM000001848,의장(설치),F4,자체 진행,D6,2023-10-28,2023-10-09,-19,False
1849,DPBOM000001849,철의장,F5,자체 진행,D7,2022-03-18,2022-03-16,-2,False
1850,DPBOM000001850,철의장,F5,자체 진행,D7,2023-11-04,2023-10-09,-26,False
1851,DPBOM000001851,철의장,F5,자체 진행,D7,2024-08-23,2024-08-09,-14,False
1852,DPBOM000001852,의장(설치),F3,자체 진행,D5,2024-07-08,2024-06-24,-14,False
1853,DPBOM000001853,의장(설치),F4,자체 진행,D6,2023-06-03,2023-05-25,-9,False
1854,DPBOM000001854,의장(설치),F4,자체 진행,D6,2021-09-22,2021-08-31,-22,False
1855,DPBOM000001855,의장(설치),F4,자체 진행,D6,2023-09-13,2023-08-27,-17,False
1856,DPBOM000001856,의장(설치),F4,자체 진행,D6,2022-09-13,2022-09-03,-10,False
1857,DPBOM000001857,의장(설치),F4,자체 진행,D6,2023-01-05,2022-12-23,-13,False
1858,DPBOM000001858,의장(설치),F4,자체 진행,D6,2021-12-15,2021-11-28,-17,False
1859,DPBOM000001859,계획,F1,자체 진행,D3,2023-07-23,2023-06-28,-25,False
1860,DPBOM000001860,계획,F2,자체 진행,D4,2024-05-04,2024-04-26,-8,False
1861,DPBOM000001861,의장(설치),F2,자체 진행,D4,2021-12-31,2021-12-15,-16,False
1862,DPBOM000001862,의장(설치),F2,자체 진행,D4,2023-01-14,2022-12-16,-29,False
1863,DPBOM000001863,계획,F2,자체 진행,D4,2022-08-21,2022-08-03,-18,False
1864,DPBOM000001864,계획,F2,자체 진행,D4,2021-09-15,2021-08-17,-29,False
1865,DPBOM000001865,의장(설치),F2,자체 진행,D4,2022-01-11,2021-12-27,-15,False
1866,DPBOM000001866,의장(설치),F2,자체 진행,D4,2024-03-13,2024-03-21,8,True
1867,DPBOM000001867,계획,F2,자체 진행,D4,2022-06-11,2022-05-20,-22,False
1868,DPBOM000001868,계획,F3,자체 진행,D5,2023-06-20,2023-06-14,-6,False
1869,DPBOM000001869,의장(설치),F2,자체 진행,D4,2023-08-23,2023-08-22,-1,False
1870,DPBOM000001870,의장(설치),F7,자체 진행,D4,2022-10-29,2022-10-22,-7,False
1871,DPBOM000001871,의장(설치),F2,자체 진행,D4,2022-02-28,2022-02-07,-21,False
1872,DPBOM000001872,의장(설치),F2,자체 진행,D4,2023-03-06,2023-02-20,-14,False
1873,DPBOM000001873,의장(설치),F2,자체 진행,D4,2024-04-20,2024-04-15,-5,False
1874,DPBOM000001874,계획,F2,자체 진행,D4,2022-09-05,2022-08-23,-13,False
1875,DPBOM000001875,의장(설치),F7,자체 진행,D4,2023-09-06,2023-08-29,-8,False
1876,DPBOM000001876,Supp 제작,F2,자체 진행,D4,2023-08-12,2023-07-21,-22,False
1877,DPBOM000001877,Supp 제작,F2,자체 진행,D4,2022-10-22,2022-09-27,-25,False
1878,DPBOM000001878,의장(설치),F2,자체 진행,D4,2022-01-28,2022-01-01,-27,False
1879,DPBOM000001879,의장(설치),F2,자체 진행,D4,2023-10-02,2023-09-12,-20,False
1880,DPBOM000001880,의장(설치),F7,자체 진행,D4,2022-07-15,2022-06-28,-17,False
1881,DPBOM000001881,의장(설치),F2,자체 진행,D4,2021-11-03,2021-10-09,-25,False
1882,DPBOM000001882,의장(설치),F7,자체 진행,D4,2022-09-10,2022-09-02,-8,False
1883,DPBOM000001883,의장(설치),F2,자체 진행,D4,2022-09-26,2022-09-20,-6,False
1884,DPBOM000001884,의장(설치),F2,자체 진행,D4,2023-03-19,2023-03-17,-2,False
1885,DPBOM000001885,의장(설치),F2,자체 진행,D4,2024-07-17,2024-07-10,-7,False
1886,DPBOM000001886,의장(설치),F2,자체 진행,D4,2022-09-21,2022-09-11,-10,False
1887,DPBOM000001887,의장(설치),F7,자체 진행,D4,2022-09-16,2022-08-27,-20,False
1888,DPBOM000001888,의장(설치),F7,자체 진행,D4,2023-06-18,2023-06-01,-17,False
1889,DPBOM000001889,의장(설치),F7,자체 진행,D4,2024-08-19,2024-08-10,-9,False
1890,DPBOM000001890,의장(설치),F7,자체 진행,D4,2024-03-14,2024-03-12,-2,False
1891,DPBOM000001891,의장(설치),F7,자체 진행,D4,2022-09-19,2022-10-25,36,True
1892,DPBOM000001892,의장(설치),F7,자체 진행,D4,2022-12-31,2022-12-08,-23,False
1893,DPBOM000001893,의장(설치),F2,자체 진행,D4,2023-10-26,2023-10-07,-19,False
1894,DPBOM000001894,의장(설치),F2,자체 진행,D4,2022-07-04,2022-06-21,-13,False
1895,DPBOM000001895,의장(설치),F2,자체 진행,D4,2023-08-09,2023-07-25,-15,False
1896,DPBOM000001896,의장(설치),F2,자체 진행,D4,2023-03-18,2023-03-13,-5,False
1897,DPBOM000001897,의장(설치),F7,자체 진행,D4,2024-01-31,2024-01-09,-22,False
1898,DPBOM000001898,의장(설치),F7,자체 진행,D4,2024-07-31,2024-07-14,-17,False
1899,DPBOM000001899,의장(설치),F7,자체 진행,D4,2023-09-12,2023-08-29,-14,False
1900,DPBOM000001900,의장(설치),F7,자체 진행,D4,2022-04-30,2022-04-03,-27,False
1901,DPBOM000001901,의장(설치),F3,자체 진행,D5,2024-01-04,2023-12-09,-26,False
1902,DPBOM000001902,의장(설치),F2,자체 진행,D4,2024-05-07,2024-04-24,-13,False
1903,DPBOM000001903,의장(설치),F1,자체 진행,D3,2024-03-04,2024-02-29,-4,False
1904,DPBOM000001904,의장(설치),F3,자체 진행,D5,2023-05-06,2023-04-11,-25,False
1905,DPBOM000001905,의장(설치),F2,자체 진행,D4,2023-10-23,2023-09-26,-27,False
1906,DPBOM000001906,의장(설치),F1,자체 진행,D3,2023-11-16,2023-11-15,-1,False
1907,DPBOM000001907,의장(설치),F7,자체 진행,D4,2023-10-20,2023-09-21,-29,False
1908,DPBOM000001908,의장(설치),F2,자체 진행,D4,2021-12-28,2021-12-10,-18,False
1909,DPBOM000001909,의장(설치),F2,자체 진행,D4,2022-01-31,2022-01-07,-24,False
1910,DPBOM000001910,의장(설치),F7,자체 진행,D4,2022-02-14,2022-01-19,-26,False
1911,DPBOM000001911,의장(설치),F2,자체 진행,D4,2023-12-20,2023-11-27,-23,False
1912,DPBOM000001912,의장(설치),F7,자체 진행,D4,2023-11-20,2023-11-28,8,True
1913,DPBOM000001913,의장(설치),F2,자체 진행,D4,2024-07-16,2024-06-22,-24,False
1914,DPBOM000001914,의장(설치),F2,자체 진행,D4,2023-01-16,2022-12-25,-22,False
1915,DPBOM000001915,의장(설치),F2,자체 진행,D4,2023-01-22,2023-01-05,-17,False
1916,DPBOM000001916,의장(설치),F2,자체 진행,D4,2023-01-04,2023-01-01,-3,False
1917,DPBOM000001917,의장(설치),F2,자체 진행,D4,2022-09-02,2022-08-25,-8,False
1918,DPBOM000001918,의장(설치),F2,자체 진행,D4,2023-11-14,2023-10-23,-22,False
1919,DPBOM000001919,의장(설치),F2,자체 진행,D4,2021-11-30,2021-11-04,-26,False
1920,DPBOM000001920,의장(설치),F7,자체 진행,D4,2021-12-13,2021-12-08,-5,False
1921,DPBOM000001921,의장(설치),F2,자체 진행,D4,2023-07-05,2023-06-26,-9,False
1922,DPBOM000001922,의장(설치),F7,자체 진행,D4,2024-08-28,2024-08-20,-8,False
1923,DPBOM000001923,의장(설치),F7,자체 진행,D4,2022-03-18,2022-02-18,-28,False
1924,DPBOM000001924,의장(설치),F7,자체 진행,D4,2023-07-20,2023-07-03,-17,False
1925,DPBOM000001925,의장(설치),F2,자체 진행,D4,2023-09-05,2023-09-01,-4,False
1926,DPBOM000001926,의장(설치),F2,자체 진행,D4,2022-01-13,2022-02-11,29,True
1927,DPBOM000001927,Supp 제작,F2,자체 진행,D4,2022-10-19,2022-10-18,-1,False
1928,DPBOM000001928,의장(설치),F7,자체 진행,D4,2023-04-28,2023-04-21,-7,False
1929,DPBOM000001929,Supp 제작,F2,자체 진행,D4,2023-04-19,2023-03-24,-26,False
1930,DPBOM000001930,의장(설치),F2,자체 진행,D4,2022-07-28,2022-07-26,-2,False
1931,DPBOM000001931,의장(설치),F2,자체 진행,D4,2024-04-15,2024-04-03,-12,False
1932,DPBOM000001932,의장(설치),F2,자체 진행,D4,2023-11-17,2023-11-07,-10,False
1933,DPBOM000001933,의장(설치),F2,자체 진행,D4,2023-05-04,2023-04-06,-28,False
1934,DPBOM000001934,의장(설치),F2,자체 진행,D4,2024-03-21,2024-03-04,-17,False
1935,DPBOM000001935,의장(설치),F2,자체 진행,D4,2022-06-18,2022-06-03,-15,False
1936,DPBOM000001936,의장(설치),F2,자체 진행,D4,2024-05-14,2024-05-12,-2,False
1937,DPBOM000001937,의장(설치),F2,자체 진행,D4,2023-05-18,2023-05-11,-7,False
1938,DPBOM000001938,의장(설치),F2,자체 진행,D4,2023-10-29,2023-10-19,-10,False
1939,DPBOM000001939,의장(설치),F2,자체 진행,D4,2022-12-23,2022-12-19,-4,False
1940,DPBOM000001940,의장(설치),F7,자체 진행,D4,2024-02-25,2024-02-24,-1,False
1941,DPBOM000001941,의장(설치),F2,자체 진행,D4,2024-01-04,2023-12-21,-14,False
1942,DPBOM000001942,의장(설치),F2,자체 진행,D4,2024-08-20,2024-08-12,-8,False
1943,DPBOM000001943,의장(설치),F2,자체 진행,D4,2023-09-13,2023-09-06,-7,False
1944,DPBOM000001944,의장(설치),F2,자체 진행,D4,2024-03-27,2024-03-11,-16,False
1945,DPBOM000001945,의장(설치),F2,자체 진행,D4,2022-11-28,2022-11-21,-7,False
1946,DPBOM000001946,의장(설치),F7,자체 진행,D4,2021-10-17,2021-09-24,-23,False
1947,DPBOM000001947,의장(설치),F2,자체 진행,D4,2022-01-14,2021-12-19,-26,False
1948,DPBOM000001948,의장(설치),F7,자체 진행,D4,2023-02-14,2023-01-26,-19,False
1949,DPBOM000001949,의장(설치),F2,자체 진행,D4,2021-11-18,2021-11-02,-16,False
1950,DPBOM000001950,의장(설치),F2,자체 진행,D4,2021-11-20,2021-11-13,-7,False
1951,DPBOM000001951,의장(설치),F2,자체 진행,D4,2023-09-10,2023-09-02,-8,False
1952,DPBOM000001952,의장(설치),F2,자체 진행,D4,2024-02-13,2024-01-25,-19,False
1953,DPBOM000001953,의장(설치),F2,자체 진행,D4,2024-05-18,2024-05-05,-13,False
1954,DPBOM000001954,의장(설치),F2,자체 진행,D4,2023-12-30,2023-12-29,-1,False
1955,DPBOM000001955,의장(설치),F2,자체 진행,D4,2024-08-07,2024-07-09,-29,False
1956,DPBOM000001956,의장(설치),F2,자체 진행,D4,2021-12-05,2021-11-28,-7,False
1957,DPBOM000001957,의장(설치),F2,자체 진행,D4,2022-12-21,2022-12-18,-3,False
1958,DPBOM000001958,의장(설치),F2,자체 진행,D4,2021-12-24,2021-11-26,-28,False
1959,DPBOM000001959,의장(설치),F2,자체 진행,D4,2023-11-21,2023-11-24,3,True
1960,DPBOM000001960,의장,F1,자체 진행,D3,2022-03-09,2022-03-07,-2,False
1961,DPBOM000001961,의장(설치),F7,자체 진행,D4,2024-03-04,2024-02-26,-7,False
1962,DPBOM000001962,의장(설치),F7,자체 진행,D4,2022-05-19,2022-05-18,-1,False
1963,DPBOM000001963,의장(설치),F2,자체 진행,D4,2021-09-22,2021-09-07,-15,False
1964,DPBOM000001964,의장(설치),F2,자체 진행,D4,2022-11-16,2022-11-15,-1,False
1965,DPBOM000001965,의장(설치),F2,자체 진행,D4,2022-02-14,2022-02-19,5,True
1966,DPBOM000001966,의장(설치),F7,자체 진행,D4,2024-03-22,2024-03-06,-16,False
1967,DPBOM000001967,의장(설치),F7,자체 진행,D4,2024-06-04,2024-05-07,-28,False
1968,DPBOM000001968,의장(설치),F7,자체 진행,D4,2023-04-16,2023-04-06,-10,False
1969,DPBOM000001969,의장(설치),F2,자체 진행,D4,2022-12-03,2022-11-23,-10,False
1970,DPBOM000001970,의장(설치),F7,자체 진행,D4,2024-03-02,2024-02-02,-29,False
1971,DPBOM000001971,의장(설치),F2,자체 진행,D4,2022-04-17,2022-04-05,-12,False
1972,DPBOM000001972,의장(설치),F2,자체 진행,D4,2022-03-15,2022-03-04,-11,False
1973,DPBOM000001973,의장(설치),F2,자체 진행,D4,2021-09-05,2021-08-09,-27,False
1974,DPBOM000001974,의장(설치),F2,자체 진행,D4,2024-03-07,2024-02-18,-18,False
1975,DPBOM000001975,의장(설치),F7,자체 진행,D4,2023-05-12,2023-05-02,-10,False
1976,DPBOM000001976,의장(설치),F2,자체 진행,D4,2024-07-19,2024-07-12,-7,False
1977,DPBOM000001977,의장(설치),F2,자체 진행,D4,2024-05-02,2024-04-09,-23,False
1978,DPBOM000001978,의장(설치),F2,자체 진행,D4,2024-07-23,2024-07-01,-22,False
1979,DPBOM000001979,의장(설치),F2,자체 진행,D4,2021-10-02,2021-10-01,-1,False
1980,DPBOM000001980,의장(설치),F2,자체 진행,D4,2022-12-27,2022-12-08,-19,False
1981,DPBOM000001981,의장(설치),F2,자체 진행,D4,2023-09-01,2023-08-10,-22,False
1982,DPBOM000001982,의장(설치),F2,자체 진행,D4,2024-01-04,2023-12-13,-22,False
1983,DPBOM000001983,의장(설치),F2,자체 진행,D4,2022-01-18,2022-01-08,-10,False
1984,DPBOM000001984,의장(설치),F2,자체 진행,D4,2023-08-21,2023-08-17,-4,False
1985,DPBOM000001985,의장(설치),F2,자체 진행,D4,2023-02-02,2023-01-11,-22,False
1986,DPBOM000001986,의장(설치),F2,자체 진행,D4,2024-06-22,2024-06-13,-9,False
1987,DPBOM000001987,의장(설치),F2,자체 진행,D4,2024-04-07,2024-03-23,-15,False
1988,DPBOM000001988,의장(설치),F2,자체 진행,D4,2024-07-04,2024-06-20,-14,False
1989,DPBOM000001989,의장(설치),F2,자체 진행,D4,2021-11-25,2021-11-21,-4,False
1990,DPBOM000001990,의장(설치),F2,자체 진행,D4,2024-07-12,2024-07-06,-6,False
1991,DPBOM000001991,의장(설치),F2,자체 진행,D4,2022-09-11,2022-09-03,-8,False
1992,DPBOM000001992,의장(설치),F2,자체 진행,D4,2022-06-29,2022-06-19,-10,False
1993,DPBOM000001993,의장(설치),F2,자체 진행,D4,2023-09-22,2023-09-01,-21,False
1994,DPBOM000001994,의장(설치),F2,자체 진행,D4,2023-05-23,2023-05-14,-9,False
1995,DPBOM000001995,의장(설치),F2,자체 진행,D4,2022-01-19,2022-01-12,-7,False
1996,DPBOM000001996,의장(설치),F2,자체 진행,D4,2022-02-13,2022-02-02,-11,False
1997,DPBOM000001997,의장(설치),F2,자체 진행,D4,2022-04-15,2022-04-10,-5,False
1998,DPBOM000001998,의장(설치),F2,자체 진행,D4,2022-10-22,2022-10-02,-20,False
1999,DPBOM000001999,의장(설치),F2,자체 진행,D4,2023-12-17,2023-11-19,-28,False
2000,DPBOM000002000,의장(설치),F5,자체 진행,D7,2022-09-27,2022-09-21,-6,False
2001,DPBOM000002001,의장(설치),F5,자체 진행,D7,2022-04-19,2022-05-13,24,True
2002,DPBOM000002002,의장(설치),F2,자체 진행,D4,2022-05-05,2022-04-24,-11,False
2003,DPBOM000002003,의장(설치),F5,자체 진행,D7,2021-11-10,2021-10-12,-29,False
2004,DPBOM000002004,의장(설치),F4,자체 진행,D6,2023-09-30,2023-09-04,-26,False
2005,DPBOM000002005,의장(설치),F5,자체 진행,D7,2023-03-08,2023-02-22,-14,False
2006,DPBOM000002006,의장(설치),F4,자체 진행,D6,2023-03-26,2023-03-08,-18,False
2007,DPBOM000002007,의장(설치),F7,자체 진행,D4,2022-03-17,2022-04-11,25,True
2008,DPBOM000002008,의장(설치),F2,자체 진행,D4,2023-08-01,2023-07-07,-25,False
2009,DPBOM000002009,의장(설치),F7,자체 진행,D4,2023-03-25,2023-03-21,-4,False
2010,DPBOM000002010,의장(설치),F2,자체 진행,D4,2023-09-21,2023-09-13,-8,False
2011,DPBOM000002011,의장(설치),F7,자체 진행,D4,2021-12-28,2021-12-05,-23,False
2012,DPBOM000002012,의장(설치),F2,자체 진행,D4,2023-06-15,2023-06-03,-12,False
2013,DPBOM000002013,의장(설치),F2,자체 진행,D4,2021-11-15,2021-10-25,-21,False
2014,DPBOM000002014,계획,F3,자체 진행,D5,2024-06-07,2024-05-16,-22,False
2015,DPBOM000002015,의장(설치),F2,자체 진행,D4,2024-02-06,2024-02-02,-4,False
2016,DPBOM000002016,의장(설치),F2,자체 진행,D4,2022-10-08,2022-09-17,-21,False
2017,DPBOM000002017,의장(설치),F7,자체 진행,D4,2023-11-05,2023-10-13,-23,False
2018,DPBOM000002018,의장(설치),F2,자체 진행,D4,2024-06-05,2024-06-03,-2,False
2019,DPBOM000002019,의장(설치),F2,자체 진행,D4,2024-08-08,2024-07-14,-25,False
2020,DPBOM000002020,의장(설치),F3,자체 진행,D5,2022-07-21,2022-07-08,-13,False
2021,DPBOM000002021,의장(설치),F2,자체 진행,D4,2021-12-12,2021-12-05,-7,False
2022,DPBOM000002022,의장,F1,자체 진행,D3,2022-09-01,2022-08-22,-10,False
2023,DPBOM000002023,의장(설치),F7,자체 진행,D4,2024-07-19,2024-07-07,-12,False
2024,DPBOM000002024,의장(설치),F2,자체 진행,D4,2022-11-25,2022-11-10,-15,False
2025,DPBOM000002025,의장(설치),F2,자체 진행,D4,2024-04-16,2024-04-07,-9,False
2026,DPBOM000002026,의장,F1,자체 진행,D3,2023-06-01,2023-05-30,-2,False
2027,DPBOM000002027,의장(설치),F7,자체 진행,D4,2024-05-02,2024-04-05,-27,False
2028,DPBOM000002028,의장(설치),F3,자체 진행,D5,2023-10-05,2023-10-03,-2,False
2029,DPBOM000002029,의장(설치),F2,자체 진행,D4,2023-10-22,2023-10-18,-4,False
2030,DPBOM000002030,의장(설치),F2,자체 진행,D4,2022-09-18,2022-08-30,-19,False
2031,DPBOM000002031,의장(설치),F2,자체 진행,D4,2022-05-04,2022-04-24,-10,False
2032,DPBOM000002032,의장(설치),F2,자체 진행,D4,2024-06-03,2024-05-09,-25,False
2033,DPBOM000002033,의장(설치),F7,자체 진행,D4,2022-07-10,2022-07-02,-8,False
2034,DPBOM000002034,의장(설치),F2,자체 진행,D4,2023-03-19,2023-02-18,-29,False
2035,DPBOM000002035,의장(설치),F2,자체 진행,D4,2023-02-11,2023-02-07,-4,False
2036,DPBOM000002036,의장(설치),F4,자체 진행,D6,2023-10-03,2023-09-29,-4,False
2037,DPBOM000002037,의장(설치),F2,자체 진행,D4,2022-10-22,2022-09-28,-24,False
2038,DPBOM000002038,의장(설치),F2,자체 진행,D4,2021-09-28,2021-09-19,-9,False
2039,DPBOM000002039,의장(설치),F2,자체 진행,D4,2023-01-27,2023-01-19,-8,False
2040,DPBOM000002040,의장(설치),F7,자체 진행,D4,2021-12-27,2021-12-04,-23,False
2041,DPBOM000002041,의장(설치),F2,자체 진행,D4,2022-11-18,2022-11-06,-12,False
2042,DPBOM000002042,의장(설치),F2,자체 진행,D4,2021-12-15,2021-11-26,-19,False
2043,DPBOM000002043,의장(설치),F2,자체 진행,D4,2023-08-19,2023-08-04,-15,False
2044,DPBOM000002044,의장(설치),F5,자체 진행,D7,2023-07-22,2023-07-13,-9,False
2045,DPBOM000002045,의장(설치),F4,자체 진행,D6,2024-03-09,2024-03-03,-6,False
